algorithm,benchmark,hash_function,init_nodes,iterations,mean,var,stddev
jump,resize-balance,crc32,100,10,3.36,0.1024,0.32
jump,resize-balance,crc32,1000,10,4.8,0.256,0.505964
jump,resize-balance,crc32,10000,10,5.52,0.1856,0.430813
jump,resize-balance,crc32,100000,10,6.88,0.7936,0.890842
jump,resize-time,crc32,10,10,3400,3.724e+07,6102.46
jump,resize-time,crc32,100,10,1100,1.29e+06,1135.78
jump,resize-time,crc32,1000,10,800,360000,600
jump,resize-time,crc32,10000,10,1700,610000,781.025
jump,resize-time,crc32,100000,10,9600,440000,663.325
memento,balance,crc32,10,10,2.8,0.76,0.87178
memento,balance,crc32,100,10,4,0.4,0.632456
memento,balance,crc32,1000,10,5.8,0.56,0.748331
memento,balance,crc32,10000,10,6.4,0.64,0.8
memento,balance,crc32,100000,10,7.6,0.24,0.489898
memento,init-time,crc32,10,10,900,1.09e+06,1044.03
memento,init-time,crc32,100,10,500,450000,670.82
memento,init-time,crc32,1000,10,700,210000,458.258
memento,init-time,crc32,10000,10,400,240000,489.898
memento,init-time,crc32,100000,10,500,450000,670.82
memento,lookup-time,crc32,10,10,3500,850000,921.954
memento,lookup-time,crc32,100,10,13700,610000,781.025
memento,lookup-time,crc32,1000,10,143400,1.84e+06,1356.47
memento,lookup-time,crc32,10000,10,1.9214e+06,1.71154e+10,130826
memento,lookup-time,crc32,100000,10,2.19731e+07,2.12639e+12,1.45822e+06
memento,memory-usage,crc32,10,10,68,0,0
memento,memory-usage,crc32,100,10,68,0,0
memento,memory-usage,crc32,1000,10,68,0,0
memento,memory-usage,crc32,10000,10,68,0,0
memento,memory-usage,crc32,100000,10,68,0,0
memento,monotonicity,crc32,10,10,0,0,0
memento,monotonicity,crc32,100,10,0,0,0
memento,monotonicity,crc32,1000,10,0,0,0
memento,monotonicity,crc32,10000,10,0,0,0
memento,monotonicity,crc32,100000,10,0,0,0
memento,resize-balance,crc32,10,10,2.56,0.4864,0.697424
memento,resize-balance,crc32,100,10,3.28,0.1856,0.430813
memento,resize-balance,crc32,1000,10,4.96,0.2304,0.48
memento,resize-balance,crc32,10000,10,6,0.416,0.644981
memento,resize-balance,crc32,100000,10,6.72,0.5376,0.733212
memento,resize-time,crc32,10,10,2500,3.45e+06,1857.42
memento,resize-time,crc32,100,10,2500,450000,670.82
memento,resize-time,crc32,1000,10,2200,160000,400
memento,resize-time,crc32,10000,10,2900,490000,700
memento,resize-time,crc32,100000,10,9000,600000,774.597
power,balance,crc32,10,10,2.5,0.25,0.5
power,balance,crc32,100,10,4.1,0.29,0.538516
power,balance,crc32,1000,10,5.5,0.45,0.67082
power,balance,crc32,10000,10,7.6,0.64,0.8
power,balance,crc32,100000,10,8.9,0.89,0.943398
power,init-time,crc32,10,10,700,610000,781.025
power,init-time,crc32,100,10,500,450000,670.82
power,init-time,crc32,1000,10,400,240000,489.898
power,init-time,crc32,10000,10,200,160000,400
power,init-time,crc32,100000,10,300,210000,458.258
power,lookup-time,crc32,10,10,2600,1.44e+06,1200
power,lookup-time,crc32,100,10,5700,210000,458.258
power,lookup-time,crc32,1000,10,27600,2.44e+06,1562.05
power,lookup-time,crc32,10000,10,443600,4.7784e+08,21859.6
power,lookup-time,crc32,100000,10,4.852e+06,1.11597e+11,334062
power,memory-usage,crc32,10,10,28,0,0
power,memory-usage,crc32,100,10,28,0,0
power,memory-usage,crc32,1000,10,28,0,0
power,memory-usage,crc32,10000,10,28,0,0
power,memory-usage,crc32,100000,10,28,0,0
power,monotonicity,crc32,10,10,0,0,0
power,monotonicity,crc32,100,10,0,0,0
power,monotonicity,crc32,1000,10,0,0,0
power,monotonicity,crc32,10000,10,0,0,0
power,monotonicity,crc32,100000,10,0,0,0
power,resize-balance,crc32,10,10,2.16,0.2624,0.51225
power,resize-balance,crc32,100,10,3.76,0.2624,0.51225
power,resize-balance,crc32,1000,10,5.2,0.288,0.536656
power,resize-balance,crc32,10000,10,5.76,0.2304,0.48
power,resize-balance,crc32,100000,10,8.48,1.0496,1.0245
power,resize-time,crc32,10,10,800,1.56e+06,1249
power,resize-time,crc32,100,10,900,1.09e+06,1044.03
power,resize-time,crc32,1000,10,800,360000,600
power,resize-time,crc32,10000,10,1500,2.65e+06,1627.88
power,resize-time,crc32,100000,10,7000,200000,447.214
